mlsfc,mcate_cd,Sex,Age,Month,time,day,fav_plc,click
문화시설,100203,F,26,1,8,월,관광지,0
문화시설,100103,M,17,3,19,화,식당,0
문화시설,100102,M,45,5,23,금,관광지,1
문화시설,100103,M,15,5,10,토,문화시설,1
문화시설,100203,M,22,10,19,금,식당,1
문화시설,100203,M,56,12,16,월,쇼핑,1
문화시설,100203,F,47,2,14,목,식당,0
문화시설,100203,F,45,12,6,월,쇼핑,1
문화시설,100103,F,19,12,8,목,식당,0
문화시설,100106,F,59,8,17,토,관광지,0
문화시설,100105,F,26,11,15,월,기타문화공간,1
문화시설,100103,F,29,9,8,목,레포츠,1
문화시설,100106,M,29,9,22,수,쇼핑,1
문화시설,100106,M,40,11,1,수,쇼핑,1
문화시설,100106,F,55,12,17,목,기타문화공간,1
문화시설,100105,F,41,1,20,토,식당,1
문화시설,100106,M,29,7,1,수,식당,1
문화시설,100106,F,35,8,22,월,레포츠,1
문화시설,100106,M,55,3,14,일,기타문화공간,1
문화시설,100106,F,58,1,24,수,관광지,0
문화시설,100105,M,55,4,18,금,레포츠,0
문화시설,100203,F,17,2,22,월,관광지,1
문화시설,100203,M,21,12,19,일,식당,0
문화시설,100103,M,44,4,15,수,레포츠,1
문화시설,100103,M,21,3,5,금,문화시설,1
문화시설,100203,M,23,1,6,금,문화시설,1
문화시설,100106,F,22,12,4,금,레포츠,0
문화시설,100106,F,22,12,8,목,관광지,0
문화시설,100106,F,25,4,6,화,문화시설,1
문화시설,100106,M,57,6,3,화,쇼핑,1
문화시설,100106,M,58,7,5,토,쇼핑,1
문화시설,100106,M,16,2,8,화,식당,1
문화시설,100106,F,54,4,14,수,기타문화공간,0
문화시설,100106,M,15,10,22,화,문화시설,1
문화시설,100106,M,38,6,19,수,레포츠,0
문화시설,100102,M,31,2,1,화,식당,1
문화시설,100203,F,48,12,4,화,기타문화공간,1
문화시설,100203,F,51,3,9,화,쇼핑,1
문화시설,100203,M,49,3,22,토,레포츠,1
문화시설,100203,F,35,12,8,월,관광지,0
문화시설,100203,F,19,8,3,금,쇼핑,1
문화시설,100203,F,41,8,24,금,레포츠,0
문화시설,100103,M,43,12,9,금,쇼핑,1
문화시설,100105,M,34,12,16,화,기타문화공간,1
문화시설,100203,M,39,10,7,화,쇼핑,1
문화시설,100203,F,57,1,9,화,식당,1
문화시설,100103,M,35,4,2,화,식당,1
문화시설,100106,M,15,4,1,토,레포츠,0
문화시설,100203,F,40,5,1,화,레포츠,1
문화시설,100203,M,48,4,4,토,쇼핑,1
문화시설,100204,F,22,1,2,목,기타문화공간,0
문화시설,100103,F,56,6,1,일,기타문화공간,1
문화시설,100103,F,20,8,16,화,레포츠,0
문화시설,100203,F,24,3,17,목,문화시설,1
문화시설,100203,M,42,8,9,일,기타문화공간,0
문화시설,100106,M,21,4,12,토,레포츠,1
문화시설,100105,F,57,1,4,일,쇼핑,1
문화시설,200110,F,30,1,8,토,관광지,1
문화시설,100103,F,38,6,23,일,기타문화공간,0
문화시설,100106,M,45,8,19,화,쇼핑,1
문화시설,100103,M,22,5,8,금,쇼핑,1
문화시설,100203,M,37,6,3,토,문화시설,1
문화시설,100203,F,28,9,2,월,기타문화공간,0
문화시설,100203,M,24,8,9,금,문화시설,1
문화시설,100203,F,18,3,8,일,관광지,1
문화시설,100203,F,58,12,21,월,기타문화공간,0
문화시설,100203,F,58,4,7,수,레포츠,0
문화시설,100204,F,44,2,6,수,쇼핑,1
문화시설,100105,M,53,10,11,화,기타문화공간,1
문화시설,100106,M,36,1,11,월,기타문화공간,1
문화시설,100106,M,18,6,11,월,레포츠,1
문화시설,100203,F,34,9,23,토,문화시설,1
문화시설,100103,F,53,11,21,금,기타문화공간,0
문화시설,100103,F,25,8,1,월,관광지,0
문화시설,100106,M,20,10,10,금,식당,0
문화시설,100106,F,41,4,3,일,관광지,0
문화시설,100105,M,29,2,13,금,기타문화공간,0
문화시설,100105,M,49,1,23,일,기타문화공간,0
문화시설,100105,F,15,3,15,일,관광지,0
문화시설,100105,F,39,11,15,화,관광지,0
문화시설,100106,M,26,12,10,목,문화시설,1
문화시설,100103,F,19,4,18,화,식당,0
문화시설,100103,M,22,5,23,화,식당,1
문화시설,100103,M,29,6,19,일,식당,0
문화시설,100103,F,56,9,11,일,기타문화공간,1
문화시설,100103,M,21,11,1,월,레포츠,0
문화시설,100103,M,22,12,9,금,관광지,1
문화시설,100103,F,51,9,10,금,문화시설,1
문화시설,100103,F,35,4,11,금,레포츠,1
문화시설,100103,M,32,2,23,목,식당,0
문화시설,100103,M,43,2,20,금,쇼핑,1
문화시설,100103,M,48,11,10,금,쇼핑,1
문화시설,100103,M,46,8,10,월,기타문화공간,0
문화시설,100103,M,43,7,5,화,쇼핑,1
문화시설,100103,F,52,6,6,토,쇼핑,1
문화시설,100103,M,39,2,22,일,식당,0
문화시설,100103,M,28,2,1,월,문화시설,1
문화시설,100103,F,36,1,2,일,기타문화공간,0
문화시설,100103,M,41,5,17,화,식당,1
문화시설,100103,M,40,8,1,금,레포츠,1
문화시설,100103,F,48,7,15,화,쇼핑,1
문화시설,100203,M,29,7,23,화,기타문화공간,1
문화시설,100203,F,25,10,5,수,식당,1
문화시설,100203,F,57,10,8,월,식당,1
문화시설,100203,M,28,1,9,금,기타문화공간,0
문화시설,100203,F,52,12,18,토,문화시설,1
문화시설,100103,M,23,12,1,금,식당,0
문화시설,100103,M,50,7,7,일,기타문화공간,1
문화시설,100103,M,16,4,1,월,식당,1
문화시설,100103,M,51,7,17,토,문화시설,1
문화시설,100103,M,42,5,8,목,레포츠,0
문화시설,100103,F,30,7,20,월,기타문화공간,0
문화시설,100103,F,22,7,3,토,레포츠,1
문화시설,100103,F,21,5,4,일,레포츠,0
문화시설,100106,F,52,8,14,월,쇼핑,1
문화시설,100103,M,35,4,5,토,문화시설,1
문화시설,100203,F,18,4,16,월,식당,0
문화시설,100203,M,34,9,17,일,문화시설,1
문화시설,100103,M,53,2,2,화,레포츠,1
문화시설,100106,M,37,9,1,화,쇼핑,1
문화시설,100103,M,31,1,24,수,기타문화공간,0
문화시설,100203,M,42,10,24,화,레포츠,0
문화시설,100203,M,38,12,14,일,레포츠,0
문화시설,100203,M,19,9,11,수,식당,0
문화시설,100106,F,58,3,14,토,관광지,0
문화시설,100203,F,16,4,4,금,레포츠,0
문화시설,100203,F,48,7,6,수,관광지,0
문화시설,100203,F,34,6,16,금,기타문화공간,1
문화시설,100203,F,26,8,23,목,관광지,1
문화시설,100103,M,55,11,12,월,기타문화공간,1
문화시설,100203,F,27,7,4,화,쇼핑,1
문화시설,100103,M,48,12,8,금,식당,0
문화시설,100103,M,37,12,24,수,레포츠,0
문화시설,100103,M,16,3,4,화,쇼핑,1
문화시설,100106,M,30,4,17,수,쇼핑,1
문화시설,100106,M,41,5,13,일,쇼핑,1
문화시설,100106,F,40,5,14,월,기타문화공간,1
문화시설,100103,F,15,10,14,일,레포츠,0
문화시설,100103,F,39,3,3,일,레포츠,0
문화시설,100105,M,39,3,4,토,문화시설,1
문화시설,100103,M,22,1,16,토,관광지,1
문화시설,100103,M,19,7,9,목,기타문화공간,1
문화시설,100101,M,24,11,12,목,레포츠,1
문화시설,100104,M,58,1,9,금,쇼핑,1
문화시설,100107,F,20,5,10,월,문화시설,1
문화시설,100204,M,58,1,18,일,문화시설,1
문화시설,100102,M,57,2,3,금,식당,0
문화시설,100102,M,16,7,10,토,레포츠,1
문화시설,100103,M,50,2,1,목,레포츠,0
문화시설,100103,F,53,9,10,금,레포츠,0
문화시설,100203,F,59,11,1,목,기타문화공간,1
문화시설,100105,M,42,3,15,토,레포츠,1
문화시설,100105,F,19,3,10,일,문화시설,1
문화시설,100105,F,30,1,4,일,쇼핑,1
문화시설,200110,F,51,8,17,월,문화시설,1
문화시설,100107,F,45,6,1,월,쇼핑,1
기타문화공간,90704,M,56,7,7,월,관광지,1
기타문화공간,90704,F,36,2,10,월,레포츠,1
기타문화공간,90704,M,33,10,9,화,문화시설,1
기타문화공간,90704,M,31,10,11,목,기타문화공간,1
기타문화공간,90704,F,55,2,15,금,기타문화공간,1
기타문화공간,90704,F,23,11,18,화,레포츠,1
기타문화공간,90704,F,31,1,24,수,쇼핑,1
기타문화공간,90704,M,48,7,15,일,레포츠,0
기타문화공간,90704,M,40,12,8,목,기타문화공간,1
기타문화공간,90704,M,25,11,2,토,쇼핑,0
기타문화공간,90704,F,35,3,22,일,레포츠,0
기타문화공간,90704,M,38,1,10,일,관광지,0
기타문화공간,90704,M,20,5,5,일,기타문화공간,0
기타문화공간,90704,M,48,5,24,화,쇼핑,1
기타문화공간,90704,F,31,5,16,토,식당,0
기타문화공간,90704,M,28,4,18,일,기타문화공간,1
기타문화공간,90704,M,25,1,7,화,레포츠,1
기타문화공간,90704,F,40,5,6,토,문화시설,0
기타문화공간,90704,F,51,5,13,목,쇼핑,1
기타문화공간,90704,M,43,4,5,금,쇼핑,1
기타문화공간,90704,F,35,3,9,목,문화시설,1
기타문화공간,90704,M,52,5,18,월,쇼핑,1
기타문화공간,90704,M,38,3,22,토,관광지,1
기타문화공간,90704,M,16,2,3,수,레포츠,1
기타문화공간,90704,F,45,9,3,목,레포츠,1
기타문화공간,90704,F,41,4,11,일,레포츠,1
기타문화공간,90704,F,19,1,1,목,기타문화공간,1
기타문화공간,90704,F,15,11,5,화,기타문화공간,1
기타문화공간,90704,M,19,4,19,수,식당,1
기타문화공간,90704,M,59,4,21,금,관광지,0
기타문화공간,90704,F,19,11,2,금,레포츠,0
기타문화공간,90704,M,49,3,5,화,문화시설,1
기타문화공간,90704,M,20,11,12,월,레포츠,1
기타문화공간,50604,M,17,11,16,금,기타문화공간,0
기타문화공간,50604,F,19,7,24,월,문화시설,0
기타문화공간,50604,M,37,1,13,월,쇼핑,1
기타문화공간,50604,F,53,4,13,금,쇼핑,0
기타문화공간,50604,M,20,2,2,월,기타문화공간,0
기타문화공간,50604,M,59,12,11,금,식당,0
기타문화공간,50604,F,25,8,4,일,문화시설,0
기타문화공간,50604,F,31,12,24,수,식당,1
기타문화공간,50604,M,29,1,15,일,기타문화공간,1
기타문화공간,50604,F,51,7,23,월,쇼핑,0
기타문화공간,91101,F,49,8,1,월,레포츠,0
기타문화공간,50604,F,29,10,23,금,레포츠,1
기타문화공간,50604,M,18,5,14,토,기타문화공간,0
기타문화공간,90704,M,16,2,11,토,기타문화공간,0
기타문화공간,50604,M,35,3,11,금,기타문화공간,0
기타문화공간,50604,F,50,10,4,월,문화시설,0
기타문화공간,50604,F,57,11,22,토,관광지,1
기타문화공간,50604,M,15,2,5,일,기타문화공간,0
기타문화공간,50604,F,23,10,6,금,문화시설,0
기타문화공간,50604,M,30,7,18,화,쇼핑,0
기타문화공간,91805,M,55,12,16,토,식당,0
기타문화공간,10402,F,29,5,23,화,레포츠,0
기타문화공간,10402,F,50,5,24,수,쇼핑,0
기타문화공간,91805,M,16,7,5,화,식당,0
기타문화공간,91805,F,58,11,11,금,쇼핑,0
기타문화공간,91101,M,37,8,17,수,문화시설,0
기타문화공간,91805,F,28,9,9,목,기타문화공간,1
기타문화공간,91101,M,22,3,1,일,쇼핑,1
기타문화공간,91101,M,31,4,6,토,쇼핑,1
기타문화공간,40117,F,25,1,21,토,식당,0
기타문화공간,90704,M,19,1,24,금,관광지,1
기타문화공간,91805,F,56,8,11,금,문화시설,1
기타문화공간,91805,M,39,1,6,토,레포츠,0
기타문화공간,90704,F,48,7,20,화,쇼핑,1
기타문화공간,90704,M,46,7,2,목,레포츠,1
기타문화공간,90704,F,14,5,1,일,문화시설,0
기타문화공간,90704,F,50,1,22,화,관광지,1
기타문화공간,90704,F,25,3,23,금,문화시설,0
기타문화공간,90707,F,25,7,10,화,문화시설,0
기타문화공간,91805,F,49,6,20,금,관광지,0
기타문화공간,50603,M,35,9,18,토,쇼핑,0
기타문화공간,91805,F,31,12,1,목,관광지,1
기타문화공간,91101,M,47,1,10,수,관광지,0
기타문화공간,91101,F,41,8,20,일,쇼핑,0
기타문화공간,91101,M,49,7,8,금,레포츠,0
기타문화공간,91101,M,48,10,11,일,식당,1
기타문화공간,91101,M,50,7,19,일,레포츠,1
기타문화공간,91101,F,47,7,19,금,쇼핑,1
기타문화공간,90707,M,21,6,18,토,쇼핑,1
기타문화공간,50604,F,34,5,20,월,관광지,0
기타문화공간,91805,M,39,3,13,금,문화시설,0
기타문화공간,91805,F,33,6,14,수,문화시설,0
기타문화공간,90704,M,36,8,11,수,문화시설,1
기타문화공간,50604,F,14,3,13,화,쇼핑,1
기타문화공간,50604,M,47,9,4,월,쇼핑,0
기타문화공간,50604,M,56,7,9,수,레포츠,1
기타문화공간,50604,M,14,5,19,월,레포츠,0
기타문화공간,50603,F,17,12,6,토,문화시설,0
기타문화공간,50604,F,18,5,5,토,식당,0
기타문화공간,91805,M,21,9,16,토,식당,0
기타문화공간,91805,M,42,12,11,화,쇼핑,0
기타문화공간,50604,F,40,11,8,금,기타문화공간,0
기타문화공간,91805,F,25,10,7,수,관광지,0
기타문화공간,50604,F,48,11,18,수,식당,1
기타문화공간,90704,M,39,10,6,목,문화시설,1
기타문화공간,91101,M,31,5,7,목,기타문화공간,0
기타문화공간,91805,M,23,3,2,일,식당,0
기타문화공간,91805,F,14,7,5,토,관광지,0
기타문화공간,50604,M,36,7,23,금,문화시설,1
기타문화공간,91805,M,22,10,1,화,문화시설,0
기타문화공간,91805,M,33,3,6,일,문화시설,0
기타문화공간,50604,F,28,8,3,수,문화시설,0
기타문화공간,91805,M,33,1,22,수,문화시설,0
기타문화공간,91805,F,36,2,11,월,식당,1
기타문화공간,91805,F,57,2,1,월,쇼핑,1
기타문화공간,91805,M,20,7,18,화,쇼핑,0
기타문화공간,50604,M,35,11,10,목,레포츠,0
기타문화공간,91805,M,44,3,4,월,문화시설,0
기타문화공간,91805,M,48,6,3,월,식당,0
기타문화공간,91805,M,29,12,5,일,레포츠,0
기타문화공간,91101,F,23,2,6,화,레포츠,1
기타문화공간,91805,F,23,1,6,목,기타문화공간,1
기타문화공간,91805,M,51,5,10,금,관광지,0
기타문화공간,91805,M,45,9,16,금,문화시설,0
기타문화공간,91805,F,45,6,19,토,레포츠,1
기타문화공간,91101,F,41,2,22,일,식당,1
기타문화공간,91101,F,23,9,9,목,문화시설,1
기타문화공간,91805,M,44,11,2,토,식당,0
기타문화공간,50604,F,51,4,8,화,기타문화공간,1
기타문화공간,91805,F,24,3,15,수,관광지,1
기타문화공간,91805,F,21,3,24,월,관광지,1
기타문화공간,91805,M,54,8,3,토,쇼핑,0
기타문화공간,91805,M,31,5,10,화,레포츠,0
기타문화공간,91805,F,53,4,14,화,문화시설,0
기타문화공간,91805,F,52,12,21,월,관광지,1
기타문화공간,91805,M,47,2,10,토,관광지,0
기타문화공간,91805,F,37,10,9,일,문화시설,1
기타문화공간,50604,F,24,2,15,금,기타문화공간,1
기타문화공간,91805,M,57,2,19,화,문화시설,0
기타문화공간,91101,M,53,2,16,월,관광지,0
기타문화공간,91805,M,19,2,7,금,관광지,0
기타문화공간,91805,F,22,10,12,화,기타문화공간,1
기타문화공간,91805,M,56,9,15,토,문화시설,0
기타문화공간,50603,M,47,6,14,목,기타문화공간,0
기타문화공간,50604,M,42,8,10,화,기타문화공간,1
기타문화공간,91805,M,43,3,7,일,문화시설,0
기타문화공간,91101,F,18,2,11,토,쇼핑,0
기타문화공간,91805,F,47,11,23,토,관광지,0
기타문화공간,91805,M,18,9,24,목,기타문화공간,0
기타문화공간,50603,F,58,8,16,수,식당,1
기타문화공간,50604,M,54,7,22,수,기타문화공간,1
기타문화공간,91805,M,37,4,13,목,문화시설,0
기타문화공간,91805,M,14,2,17,월,문화시설,0
기타문화공간,50603,F,46,9,16,수,문화시설,0
기타문화공간,91805,M,49,9,2,토,쇼핑,0
기타문화공간,91101,F,59,10,2,화,레포츠,0
기타문화공간,50604,F,44,4,17,목,기타문화공간,1
기타문화공간,91805,M,39,9,4,목,문화시설,0
기타문화공간,91101,M,40,1,5,토,식당,0
기타문화공간,91101,M,29,7,9,월,문화시설,0
기타문화공간,50604,M,18,11,19,화,문화시설,1
기타문화공간,50604,M,35,8,18,수,관광지,0
기타문화공간,91805,F,40,3,6,금,쇼핑,0
기타문화공간,91101,F,35,8,20,금,관광지,1
기타문화공간,50604,M,46,10,12,목,쇼핑,0
기타문화공간,91805,M,31,9,11,화,문화시설,0
기타문화공간,91805,F,54,8,10,금,레포츠,0
기타문화공간,91805,F,50,4,6,토,기타문화공간,0
기타문화공간,91805,M,41,4,16,화,쇼핑,0
기타문화공간,91805,F,30,9,4,토,관광지,0
기타문화공간,91101,F,41,8,19,월,문화시설,1
기타문화공간,91805,M,56,6,20,월,관광지,0
기타문화공간,91805,M,16,11,11,일,문화시설,0
기타문화공간,91805,M,16,8,14,목,기타문화공간,0
기타문화공간,90704,F,15,1,1,금,문화시설,0
기타문화공간,91101,M,36,11,20,금,레포츠,0
기타문화공간,91805,F,55,10,19,화,식당,1
기타문화공간,91805,M,57,4,4,월,식당,0
기타문화공간,91805,M,50,6,10,일,관광지,0
기타문화공간,91101,F,55,6,23,수,레포츠,0
기타문화공간,91805,F,37,4,18,월,기타문화공간,1
기타문화공간,91805,M,25,10,12,화,관광지,0
기타문화공간,91805,M,15,1,11,토,기타문화공간,0
기타문화공간,91101,M,59,7,13,목,식당,0
기타문화공간,91805,M,35,1,13,화,기타문화공간,0
기타문화공간,91805,M,51,9,20,금,쇼핑,0
기타문화공간,91805,M,43,6,15,수,식당,0
기타문화공간,91805,M,35,5,22,수,식당,0
기타문화공간,91805,M,53,12,1,목,레포츠,0
기타문화공간,91101,M,26,2,5,일,식당,0
기타문화공간,91805,M,27,4,12,금,관광지,0
기타문화공간,91805,M,42,2,2,일,관광지,0
기타문화공간,91805,M,18,10,1,토,쇼핑,0
기타문화공간,91805,M,49,3,14,수,관광지,0
기타문화공간,91805,F,53,10,18,목,관광지,1
기타문화공간,91805,F,47,2,4,수,관광지,0
기타문화공간,91805,M,51,4,12,화,문화시설,0
기타문화공간,50604,F,49,8,20,월,관광지,0
기타문화공간,91805,M,42,3,4,수,관광지,0
기타문화공간,91805,M,33,7,17,목,식당,0
기타문화공간,91101,M,18,12,10,목,식당,0
기타문화공간,91101,M,23,3,24,금,식당,0
기타문화공간,91805,F,43,12,9,일,쇼핑,0
기타문화공간,91805,F,36,4,4,월,관광지,0
기타문화공간,91805,F,23,5,1,토,문화시설,0
기타문화공간,91101,F,52,6,4,토,관광지,0
기타문화공간,91805,M,32,4,22,화,기타문화공간,0
기타문화공간,91805,M,15,3,10,수,관광지,0
기타문화공간,91805,M,56,6,13,목,쇼핑,0
기타문화공간,91805,F,38,8,24,금,레포츠,0
기타문화공간,91805,F,47,9,5,화,식당,0
기타문화공간,91805,F,33,3,8,목,레포츠,0
기타문화공간,91805,F,50,6,24,화,관광지,0
기타문화공간,91805,F,59,6,5,목,쇼핑,1
기타문화공간,91805,F,19,5,17,수,식당,1
기타문화공간,91805,M,57,12,13,일,관광지,0
기타문화공간,91805,F,19,1,12,수,문화시설,1
기타문화공간,91805,M,17,12,18,토,레포츠,0
기타문화공간,91805,F,25,7,15,수,식당,1
기타문화공간,91805,F,41,2,8,수,레포츠,1
기타문화공간,91101,M,39,10,8,화,레포츠,0
기타문화공간,91101,F,44,1,17,목,식당,1
기타문화공간,91101,F,30,1,18,화,식당,1
기타문화공간,91805,M,36,7,10,월,식당,0
기타문화공간,50604,F,44,8,19,일,기타문화공간,0
기타문화공간,91805,F,42,4,18,금,레포츠,1
기타문화공간,91805,F,22,9,17,월,식당,1
기타문화공간,91101,M,24,12,20,토,관광지,0
기타문화공간,91805,M,21,9,14,금,쇼핑,0
기타문화공간,91805,M,42,12,12,수,문화시설,0
기타문화공간,91805,F,20,5,18,화,문화시설,1
기타문화공간,91805,F,38,11,23,일,식당,1
기타문화공간,91805,M,32,5,1,일,기타문화공간,0
기타문화공간,91805,M,20,8,6,목,레포츠,0
기타문화공간,91805,F,38,8,11,일,식당,0
기타문화공간,50603,F,16,5,7,수,기타문화공간,1
기타문화공간,50604,M,45,12,4,월,쇼핑,0
기타문화공간,50604,F,42,8,4,금,기타문화공간,0
기타문화공간,91101,F,32,6,23,일,기타문화공간,1
기타문화공간,91805,M,33,2,13,화,관광지,0
기타문화공간,91805,F,52,6,23,월,문화시설,0
기타문화공간,91805,F,50,7,17,목,레포츠,1
기타문화공간,91101,F,26,10,13,금,레포츠,0
기타문화공간,91101,M,31,4,8,목,레포츠,0
기타문화공간,50604,M,16,2,2,금,식당,1
기타문화공간,91805,M,19,4,19,토,문화시설,0
기타문화공간,91805,F,39,7,8,화,관광지,1
기타문화공간,91805,F,52,11,14,목,기타문화공간,1
기타문화공간,91805,M,33,12,4,수,관광지,0
기타문화공간,91101,F,15,6,12,토,관광지,0
기타문화공간,91805,M,54,5,21,토,식당,0
기타문화공간,91805,F,28,10,2,수,레포츠,1
기타문화공간,91805,M,41,9,8,화,기타문화공간,0
기타문화공간,50603,F,28,12,9,일,문화시설,1
기타문화공간,50604,F,25,5,18,화,문화시설,0
기타문화공간,91805,M,35,8,2,일,기타문화공간,0
기타문화공간,91805,F,24,8,17,일,기타문화공간,1
기타문화공간,91805,M,45,12,17,금,관광지,0
기타문화공간,91805,M,35,7,8,목,문화시설,0
기타문화공간,91805,F,14,6,19,금,레포츠,1
기타문화공간,91805,F,56,9,8,수,레포츠,1
기타문화공간,91101,M,40,9,9,월,기타문화공간,0
기타문화공간,91101,M,53,6,15,금,관광지,0
기타문화공간,91805,F,20,11,7,수,기타문화공간,1
기타문화공간,90704,F,18,4,9,월,문화시설,1
기타문화공간,91101,M,23,12,20,월,기타문화공간,0
기타문화공간,91101,M,17,6,20,목,식당,0
기타문화공간,91805,F,14,8,6,일,레포츠,1
기타문화공간,50604,M,33,10,1,토,문화시설,0
기타문화공간,91805,M,39,2,14,일,문화시설,0
기타문화공간,91101,M,36,10,4,일,문화시설,0
기타문화공간,91805,F,25,11,12,일,레포츠,0
기타문화공간,91805,M,42,9,16,금,레포츠,0
기타문화공간,91805,F,25,5,15,수,기타문화공간,1
기타문화공간,91805,F,47,1,21,토,관광지,1
기타문화공간,91805,M,54,5,3,월,기타문화공간,0
기타문화공간,91805,M,41,12,21,금,기타문화공간,0
기타문화공간,91101,F,26,10,15,월,문화시설,1
기타문화공간,91805,F,28,1,4,금,문화시설,0
기타문화공간,91805,M,22,7,12,월,관광지,0
기타문화공간,91101,M,36,8,13,금,쇼핑,0
기타문화공간,91805,M,49,11,10,목,문화시설,0
기타문화공간,50604,F,28,12,2,일,레포츠,0
기타문화공간,50604,F,46,2,21,수,문화시설,1
기타문화공간,91805,M,50,11,17,수,관광지,0
기타문화공간,91101,M,15,12,4,목,기타문화공간,0
기타문화공간,91805,F,17,3,11,일,기타문화공간,1
기타문화공간,50604,F,47,9,21,화,문화시설,1
기타문화공간,91805,F,44,7,22,월,쇼핑,1
기타문화공간,50604,M,44,1,11,금,쇼핑,0
기타문화공간,91805,F,22,2,5,일,레포츠,0
기타문화공간,91805,M,29,10,15,월,레포츠,0
기타문화공간,91101,F,51,2,11,화,기타문화공간,1
기타문화공간,91805,M,55,10,5,수,문화시설,0
기타문화공간,91805,M,16,8,13,월,식당,0
기타문화공간,91805,M,57,5,2,목,관광지,0
기타문화공간,91805,M,19,6,13,월,식당,0
기타문화공간,91805,F,50,11,21,일,레포츠,0
기타문화공간,91805,F,26,5,6,일,문화시설,0
기타문화공간,50604,M,33,9,11,화,쇼핑,0
기타문화공간,91805,M,47,7,9,월,기타문화공간,0
기타문화공간,91101,M,40,7,15,일,기타문화공간,0
기타문화공간,91805,F,55,10,24,토,레포츠,1
기타문화공간,91805,M,49,2,18,금,식당,0
기타문화공간,91101,F,55,8,18,토,관광지,1
기타문화공간,91101,F,50,6,10,일,쇼핑,1
기타문화공간,91805,F,47,9,3,목,쇼핑,0
기타문화공간,91101,M,38,5,1,토,식당,0
기타문화공간,91805,F,56,4,6,일,관광지,0
기타문화공간,91805,M,30,4,6,수,관광지,0
기타문화공간,91101,M,33,10,3,일,쇼핑,0
기타문화공간,50603,M,37,11,2,목,문화시설,0
기타문화공간,91805,M,47,12,6,목,레포츠,0
기타문화공간,91805,F,40,5,17,화,레포츠,0
기타문화공간,50603,M,34,5,12,목,기타문화공간,1
기타문화공간,50604,F,57,2,13,토,문화시설,0
